date,BeiJing,Shenzhen
2017/12/08-19:22:31,28320,28320
2017/12/08-19:23:13,28320,28320
2017/12/09-16:37:50,28320,28320
2017/12/10-16:48:19,28320,28320
2017/12/11-16:49:57,28320,28320
2017/12/12-16:58:35,28320,28320
2017/12/12-17:03:25,28320,28320
2017/12/12-18:59:13,28309,25791
2017/12/25-11:46:12,29088,25544
2017/12/25-11:54:09,29090,25542
2017/12/25-11:55:17,29087,25540
2017/12/25-11:57:04,29087,25540
2017/12/25-11:57:31,29087,25540
2017/12/25-11:59:04,29086,25544
2017/12/25-12:02:10,29088,25544
2017/12/25-16:07:58,29110,25587
